,COMPONENT NAME,PART NUMBER,QUANTITY,DESCRIPTION
0,210-AKZR : PowerEdge R740XD Server,FFMP1,1,"SERVICECHARGE,MZR,DIAGS,SERVER,SERVERCHASSIS,14GW1"
1,210-AKZR : PowerEdge R740XD Server,2WYX0,1,"SERVICECHARGE,SOFTWARE,ISM310,LCDUP"
2,210-AKZR : PowerEdge R740XD Server,Y634J,1,"INFORMATION,MZR,SERVER,SERVERCHASSIS"
3,210-AKZR : PowerEdge R740XD Server,T37R2,1,"SERVICECHARGE,MZR,DRIVERS(SOFTWARE),SERVER,SERVERCHASSIS,14G,SDP1,L1"
4,210-AKZR : PowerEdge R740XD Server,5NC3N,1,"INFORMATION,LABEL,QRL,13G,ALTERNATE"
5,210-AKZR : PowerEdge R740XD Server,KV9F5,1,"SERVICECHARGE,DRIVER,SERIALATTACHEDSCSI,PERCS140,R740XD"
6,210-AKZR : PowerEdge R740XD Server,J33XJ,1,"SERVICECHARGE,SOFTWARE,ENTERPRISESYSTEMSGROUP,POWEREDGE,CHIPSET,14G"
7,210-AKZR : PowerEdge R740XD Server,6P66G,1,"SERVICECHARGE,SOFTWARE,ENTERPRISESYSTEMSGROUP,POWEREDGE,VIDEO,14G"
8,210-AKZR : PowerEdge R740XD Server,T845M,1,"INSTRUCTION,TRIGGER,SVCTAG"
9,210-AKZR : PowerEdge R740XD Server,P6DJ1,1,"SERVICECHARGE,OSCILLATOR,14G,DRIVERS(SOFTWARE),SERVER,SERVERCHASSIS"
10,210-AKZR : PowerEdge R740XD Server,439JW,1,"INFORMATION,ROYALTY,OHCI,INSYDE,14G"
11,210-AKZR : PowerEdge R740XD Server,17V8K,1,"INFORMATION,PROCESS-START,UEFI"
12,210-AKZR : PowerEdge R740XD Server,DNCPW,1,"INFORMATION,ROYALTY,EXPANSION,EXPAND,14G,AVOCENT"
13,210-AKZR : PowerEdge R740XD Server,T6N3T,1,"INFORMATION,ROYALTY,GDRIVER,14G,AMERICANMEGATREND/AMI"
14,210-AKZR : PowerEdge R740XD Server,GD720,1,"Information,Label,MINI-XPRS-Service-Tag"
15,210-AKZR : PowerEdge R740XD Server,JD509,1,"LABEL,REGULATORY,SIDE,UNIVERSAL,BLANK,V2"
16,210-AKZR : PowerEdge R740XD Server,DF3MX,1,"INFORMATION,64-BIT,UEFI-MFG,PROCESS"
17,210-AKZR : PowerEdge R740XD Server,23503,1,"LABEL,BARCODE,TRACK,SYSTEMBOARD,GENERIC"
18,210-AKZR : PowerEdge R740XD Server,C108D,1,"INFORMATION,LABEL,BLACKEST"
19,"400-ASWK : 240GB SSD SATA Mix Use 6Gbps 5 12e 2.5in Hot-plug Drive, S460 0, 3 DWPD,1314 TBW",DXD9H,2,"ASSEMBLY,CARRIER,HD/SSD,2.5,14G"
20,"400-ASWK : 240GB SSD SATA Mix Use 6Gbps 5 12e 2.5in Hot-plug Drive, S460 0, 3 DWPD,1314 TBW",R9445,8,"SCREW,M3X.05X4.5MM,FLATHEAD,MACHINESCREW,ZINCPLATEDSTEEL"
21,"400-ASWK : 240GB SSD SATA Mix Use 6Gbps 5 12e 2.5in Hot-plug Drive, S460 0, 3 DWPD,1314 TBW",4JKNV,2,"SystemIntegration,LABEL,PRINTONDEMAND,HARDDRIVE,RECTANGULAR,14G"
22,"400-ASWK : 240GB SSD SATA Mix Use 6Gbps 5 12e 2.5in Hot-plug Drive, S460 0, 3 DWPD,1314 TBW",V6YD5,2,"SSDR,240G,2E,IT06,2.5,I-YVM,EDGECARD"
23,"400-AUMO : Dell 800GB, NVMe, Mixed Use Ex press Flash, 2.5 SFF Drive, U. 2, PM1725a with Carrier",KWH83,1,"SSDR,800G,NVMEPCIE,2.5,PM1725A"
